 "Distance mm" R 1/R R 1/R R "scale factor" "Average 1/R "
10 354 126.96 0.007876496534342 108.71 0.00919878576028 24.07 4.51641046946406 0.008537641147311
9 328.6 98.36 0.010166734444896 98.44 0.010158472165786   0.010162603305341
8 303.2 94.9 0.010537407797682 86.81 0.011519410206198   0.01102840900194
7 277.8 76.05 0.013149243918475 81.7 0.012239902080783   0.012694572999629
6 252.4 66.08 0.015133171912833 68.63 0.014570887367041   0.014852029639937
5 227 56.18 0.017799928800285 60.53 0.016520733520568   0.017160331160427
4 201.6 52.73 0.018964536317087 51.67 0.019353590090962   0.019159063204025
3 176.2 49.95 0.02002002002002 49.48 0.020210185933711   0.020115102976865
2 150.8 47.08 0.02124044180119 46.85 0.021344717182497   0.021292579491843
1 125.4 71.8 0.013927576601671 62.61 0.015971889474525   0.014949733038098
0.5 112.7 268 0.003731343283582 277.8 0.003599712023038   0.00366552765331
20 608   325.9 0.003068425897515 58.01 5.61799689708671 0.003068425897515
30 862   493.241606530026 0.002027403987744 97.34  0.002027403987744
40 1116   798.084580115873 0.001253000026457 157.5 5.06720368327539 0.001253000026457
50 1370   1072.7270197494 0.000932203609669 211.7  0.000932203609669
60 1624   1471.00922925484 0.000679805388105 290.3  0.000679805388105
70 1878   1883.47960907346 0.0005309322146 371.7  0.0005309322146
80 2132   2090.72823971942 0.000478302239862 412.6  0.000478302239862
90 2386   275.199832038686 0.003633723147983 54.31  0.003633723147983
